ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108388,SRR7108389,SRR7108390,SRR7108391,SRR7108392,SRR7108393,SRR7108394,SRR7108395,SRR7108388 CPM,SRR7108389 CPM,SRR7108390 CPM,SRR7108391 CPM,SRR7108392 CPM,SRR7108393 CPM,SRR7108394 CPM,SRR7108395 CPM
ENSG00000091138,SLC26A3,0,3.75114490427862,1.57702019251462e-129,11.6913485215368,1.08485059763332e-133,5554,5594,4739,4427.999999,55928.999999,60911.000001,76728,70391,526.979,507.057,440.914,453.417,5110.449,5318.778,6131.397,6847.189
ENSG00000109107,ALDOC,0,3.52516872992051,6.59791545721763e-84,5.8928354381672,6.80817458223223e-88,100.84526,98.40055,114.243161,106.161212,1078.09834,1450.775584,959.521478,1124.446221,9.568,8.919,10.629,10.871,98.510,126.682,76.676,109.379
ENSG00000187134,AKR1C1,0,4.64884401005472,2.14390627880742e-77,4.98769035955674,2.58093176804512e-81,19.851747,28.412533,26.622675,32.012689,415.016674,562.370241,757.719361,867.932543,1.884,2.575,2.477,3.278,37.922,49.106,60.550,84.427
ENSG00000104081,BMF,0,2.52295398672018,7.80129197121098e-71,4.89526796565533,1.07331996095564e-74,97,110.375397,98.519301,84.113147,469.315857,530.272496,570.032229,586.07361,9.204,10.005,9.166,8.613,42.883,46.304,45.552,57.010
ENSG00000158373,H2BC5,0,2.51941984110659,1.83184939998131e-70,5.40815280867104,2.83533881366739e-74,147.74623,138.763402,135.051322,135.538052,694.401697,794.18508,744.217828,832.593665,14.019,12.578,12.565,13.879,63.450,69.349,59.471,80.989
ENSG00000130234,ACE2,0,2.70408687170418,1.20086260852596e-64,6.08209304357273,2.06521851260763e-68,209,247,167,177,1169,1126,1192.000001,1489,19.831,22.389,15.538,18.124,106.816,98.323,95.254,144.840
ENSG00000268621,IGFL2-AS1,0,4.25244918723329,4.827825356185e-59,4.84750126510541,9.96335224073813e-63,36.702045,28.315125,32.505979,28.56081,336.389738,443.171585,945.963479,655.477966,3.482,2.567,3.024,2.925,30.737,38.698,75.593,63.761
ENSG00000180573,H2AC6,0,1.84887458374003,3.55148640670133e-53,6.12031647008579,7.94010409601825e-57,343.772264,361.934453,345.93077,288.895008,1065.938716,1331.938754,1228.307665,1019.934032,32.618,32.807,32.185,29.582,97.399,116.306,98.155,99.213
ENSG00000103811,CTSH,0,1.76530830768319,3.5367407861265e-52,6.55393812997748,8.51537843840112e-56,486,543,445.000001,421,1420.000001,1698.000001,1607,1463,46.113,49.219,41.403,43.109,129.751,148.270,128.417,142.311
ENSG00000078814,MYH7B,0,-2.4439939735874,1.56428001388671e-51,4.74521445728922,4.03532430018756e-55,510.072267,491.084727,555,439,78,62.10648,142.003246,77.03992,48.397,44.513,51.637,44.953,7.127,5.423,11.348,7.494
ENSG00000110080,ST3GAL4,0,1.87956706413942,1.03845112294247e-50,6.77625370684349,2.85745059368145e-54,532,529.999998,529,484,1634.000001,1738,1878.999999,2079,50.478,48.041,49.218,49.560,149.305,151.763,150.152,202.232
ENSG00000106211,HSPB1,0,2.41976062166586,2.5086680851194e-50,5.17823476713193,7.76583925776896e-54,134.7039,134.462944,129.671514,105.750272,468.846553,577.500478,824.814825,746.566241,12.781,12.188,12.065,10.829,42.840,50.428,65.912,72.621
ENSG00000162344,FGF19,0,-2.92944144511775,2.5086680851194e-50,3.85877714470965,7.72023934262523e-54,281,292,317,233,28,28,63,25,26.662,26.468,29.494,23.859,2.558,2.445,5.034,2.432
ENSG00000163817,SLC6A20,0,2.47249878878485,6.79623793329127e-50,5.11650916680147,2.22072541545624e-53,122.097012,136.061618,107.535938,103.203689,487.228936,690.197683,612.287162,701.667481,11.585,12.333,10.005,10.568,44.520,60.268,48.928,68.254
ENSG00000137819,PAQR5,0,1.86886092640062,1.35245507262575e-49,5.57393672118229,4.65184815252978e-53,231.596426,266.850184,194.983549,212.881365,718.255669,756.799366,864.026848,848.475601,21.975,24.188,18.141,21.799,65.630,66.084,69.045,82.534
ENSG00000131711,MAP1B,0,-2.33206807709407,5.72290995164179e-49,5.26461330558312,2.26369251875009e-52,715,762.031561,616,730,162,93,180.000001,112,67.841,69.073,57.312,74.750,14.803,8.121,14.384,10.895
ENSG00000163131,CTSS,0,2.00285165644076,1.4320421046641e-48,5.27783650705719,5.91071087277735e-52,173.643927,203.7304,157.611404,151.123813,626.038873,723.161602,645.122027,640.782015,16.476,18.467,14.664,15.475,57.204,63.147,51.552,62.331
ENSG00000151726,ACSL1,0,1.66735456185727,5.42994162807052e-48,6.32880427274075,2.33457514062227e-51,428.00153,447,424.03603,405,1052.000001,1362,1494.445138,1323.000001,40.610,40.517,39.452,41.471,96.125,118.930,119.422,128.693
ENSG00000101188,NTSR1,0,-2.82077944939364,3.62869443735486e-47,3.33498774014554,1.62254381775889e-50,181,195,210,181,23,23,35,24,17.174,17.675,19.538,18.534,2.102,2.008,2.797,2.335
ENSG00000137878,GCOM1,0,2.58656623421963,2.66766356855635e-46,4.92322789669693,1.23870391165531e-49,88.669714,120.092633,94.893297,79.920392,385.229444,490.632547,703.486345,650.970892,8.413,10.886,8.829,8.184,35.200,42.842,56.216,63.322
ENSG00000214039,LINC02418,0,-2.04399533523237,9.00776246489283e-46,4.79468760962568,4.33758145763323e-49,501.71101,483.65246,542.441127,438.909188,126.817192,80.620736,149.124656,106.496265,47.604,43.840,50.468,44.943,11.588,7.040,11.917,10.359
ENSG00000173702,MUC13,0,1.2263271178878,2.32044282580762e-45,9.41739582297341,1.15728828569696e-48,4577,4641.000001,4680,4257,9091,10371,11196,10293,434.279,420.674,435.425,435.907,830.680,905.601,894.681,1001.238
ENSG00000176945,MUC20,0,1.45756841003232,2.53754146777861e-44,6.09644824702566,1.3092032956706e-47,389.377104,422.194952,428.547853,377.036828,958.868003,1028.210565,1221.457745,1082.261574,36.945,38.269,39.872,38.608,87.615,89.784,97.608,105.276
ENSG00000204385,SLC44A4,0,2.13666561871245,6.82322386670863e-44,4.05573080740484,3.637675888145e-47,64.340645,75.346427,68.505044,62.812687,233.657168,288.189706,336.920741,295.015298,6.105,6.830,6.374,6.432,21.350,25.165,26.924,28.697
ENSG00000176387,HSD11B2,0,1.82393020902911,7.26757855825074e-43,6.07453646093446,3.99956169473961e-46,341.500569,355,325.912201,293,891.892204,949,1434.8911,1243.883538,32.403,32.178,30.323,30.003,81.496,82.867,114.663,120.997
ENSG00000144354,CDCA7,0,-1.89933707905422,9.89048764947771e-43,4.86987805519831,5.61312006522717e-46,514.000001,579,502.999999,439,151,104,169,105,48.770,52.482,46.799,44.953,13.797,9.081,13.505,10.214
ENSG00000075461,CACNG4,0,3.39979743375798,1.23052671633999e-42,4.00970960553749,7.19519637394187e-46,33,34,31,25,313.350482,383.655923,210.915009,322.396546,3.131,3.082,2.884,2.560,28.632,33.501,16.854,31.361
ENSG00000035862,TIMP2,0,3.15578925456089,1.91738605081324e-42,5.42562254809017,1.15411821381091e-45,109.418048,88.270411,89.438917,95.766186,675.017598,1089.424184,583.713304,891.332611,10.382,8.001,8.321,9.806,61.679,95.129,46.645,86.703
ENSG00000104419,NDRG1,0,2.123631852378,2.02106353905449e-42,6.10550466542561,1.25128187878931e-45,309.000001,267.999998,283.000001,276,1118,1463.000001,1049.999999,1106.999999,29.319,24.292,26.330,28.262,102.156,127.750,83.906,107.682
ENSG00000138166,DUSP5,0,3.84628926580031,2.8842974347453e-42,4.92241008765311,1.83533123094186e-45,30,48,46,50,508,714,373,769,2.846,4.351,4.280,5.120,46.418,62.347,29.807,74.803
ENSG00000261609,GAN,0,1.89435272183448,2.96277599760426e-42,6.35362331036237,1.93622178115745e-45,439.097265,403.432871,347.83289,345.409633,1204.694512,1509.886961,1297.256997,1450.954208,41.663,36.568,32.362,35.369,110.078,131.844,103.665,141.140
ENSG00000151090,THRB,0,2.11479119584427,4.67430626985634e-42,4.63625904689961,3.13512209614249e-45,117,117.281383,87.658714,90,357.999999,415.000001,461,483.000001,11.101,10.631,8.156,9.216,32.712,36.238,36.839,46.983
ENSG00000108828,VAT1,0,2.59143249598648,5.54763691296363e-42,5.91153865459305,3.81628418522959e-45,177,202,188.999999,190,1014,1479,855.000001,999.999999,16.794,18.310,17.584,19.456,92.653,129.147,68.324,97.274
ENSG00000142156,COL6A1,0,2.77461385974807,1.0737707245529e-41,6.19297484210728,7.57125899989145e-45,222,261.000001,189.000001,158,825.999999,1142,1918,1633,21.064,23.658,17.584,16.179,75.475,99.720,153.269,158.848
ENSG00000234664,NA,0,-1.57091505237134,1.67143806155876e-41,6.23912624922176,1.20729183939787e-44,1175.81202,1313.497351,1409.326883,1108.127416,456.628163,341.271311,487.750802,346.286242,111.564,119.059,131.123,113.470,41.724,29.800,38.977,33.685
ENSG00000074416,MGLL,0,2.47000057775147,2.47777611126098e-41,5.76749520066995,1.832327940981e-44,209.102787,199.795005,157.999999,170.221138,722.999999,789.391676,1149.081221,1280.202774,19.840,18.110,14.700,17.430,66.063,68.930,91.824,124.530
ENSG00000214049,UCA1,0,3.25663023601706,9.08962470990919e-41,9.49418823608206,6.87814482666353e-44,1516.974012,1579.515551,1567.709986,1396.415802,7558.881675,9286.243234,21190.969521,18725.979422,143.935,143.172,145.859,142.990,690.684,810.879,1693.388,1821.544
ENSG00000117115,PADI2,0,1.40916899372271,1.00773791143305e-40,6.17325519297718,7.79889005700851e-44,465,457.003943,427,399,1008,1055.002059,1262.316273,1156.253096,44.121,41.424,39.728,40.857,92.105,92.123,100.873,112.473
ENSG00000187867,PALM3,0,3.96504405175554,1.62504025612504e-40,4.02699047184285,1.28556678387108e-43,19,20,31,16,194,216,495,416,1.803,1.813,2.884,1.638,17.727,18.861,39.556,40.466
ENSG00000153246,PLA2R1,0,1.58647222357863,2.05592134896574e-39,5.65763876920858,1.66179344422567e-42,284.112321,289.973963,298.243006,244.376895,668.876332,750.272311,959.193279,864.125155,26.957,26.284,27.748,25.024,61.118,65.514,76.650,84.057
ENSG00000105289,TJP3,0,1.54672347017412,1.15810331599911e-38,6.39599999855436,9.56007346345593e-42,484,516.000002,453.000001,449,1308,1422,1284,1312.000001,45.923,46.772,42.147,45.977,119.517,124.170,102.605,127.623
ENSG00000084764,MAPRE3,0,1.5073137654011,2.82183681895505e-38,6.1366294652144,2.37793874368063e-41,398.000001,428,414.000001,381.000001,995,1083.000001,1146,1203.999999,37.763,38.795,38.518,39.013,90.917,94.568,91.578,117.117
ENSG00000267308,NA,0,3.35273483936493,3.99688842320378e-37,5.80468168668644,3.43688274821038e-40,117.702103,98.19536,121.954571,102.155976,607.938665,703.497135,1694.165881,1419.644328,11.168,8.901,11.347,10.461,55.550,61.430,135.382,138.094
ENSG00000204386,NEU1,0,1.61530484885874,6.1146856594633e-37,6.28056564382684,5.36311363669026e-40,455.719961,418.232911,456.180176,365.327426,1130.397205,1378.608116,1209.711389,1256.791131,43.240,37.910,42.443,37.409,103.289,120.381,96.669,122.253
