ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000092820,EZR,0,1.04286393475952,0,9.97606560908731,0,8768.18172,7590.85271,7975.533184,9578.420933,12807.999367,13065.718739,13968.000001,13074.295743,716.452,736.563,715.104,751.585,1069.879,1287.942,1337.527,1174.766
ENSG00000156976,EIF4A2,0,2.2404603332397,0,10.0897918081022,0,5239.382592,4493.201523,4531.165193,5371.899058,18034.714444,16971.88099,16483.635985,19082.167226,428.112,435.989,406.274,421.514,1506.477,1672.989,1578.416,1714.592
ENSG00000189143,CLDN4,0,1.78238851134165,0,9.87805671243512,0,5819.159382,4322.636069,5638.704547,6120.061037,13168.415134,14462.674058,15530.475247,13551.31839,475.486,419.438,505.579,480.220,1099.985,1425.646,1487.145,1217.628
ENSG00000197746,PSAP,0,1.3116094967856,0,9.99895910164007,0,8021,6561,7164.000001,8609,15129.000001,13540,13944,14632,655.400,636.634,642.340,675.518,1263.757,1334.694,1335.229,1314.731
ENSG00000109107,ALDOC,0,4.94579384762299,2.70523329155374e-266,6.85698372263494,5.11764428209386e-270,101.33205,64.996982,113.157588,99.437103,2182.773528,2123.964779,2214.094405,2332.150663,8.280,6.307,10.146,7.802,182.332,209.368,212.014,209.551
ENSG00000228716,DHFR,0,-3.35288963608954,1.89783046264545e-240,5.70651511110111,3.91661918099738e-244,1291.835319,1047.688239,1124.431241,1353.920171,100.424496,90.62045,75.3517,93.172599,105.556,101.660,100.819,106.237,8.389,8.933,7.215,8.372
ENSG00000186480,INSIG1,0,6.12507197979204,3.13199639544787e-237,10.277539671361,7.00224485198243e-241,412,369,588.000001,434.000001,17875,25462.997251,26636.997191,24490.996623,33.665,35.805,52.721,34.054,1493.136,2509.994,2550.667,2200.592
ENSG00000179094,PER1,0,4.17372538371778,1.4210388423535e-212,6.516151187038,3.42142222177395e-216,131.040678,111,116,142.050523,1609.999999,1573,1921.000001,1721.580551,10.707,10.771,10.401,11.146,134.487,155.057,183.948,154.689
ENSG00000163931,TKT,0,3.60090048528633,1.18798249451655e-207,10.2657544656879,3.06460134104051e-211,2521.001378,1971,2531.51582,2669.000585,20036.000002,22474.010239,25145.361566,20627.000001,205.992,191.252,226.981,209.427,1673.649,2215.357,2407.833,1853.400
ENSG00000079459,FDFT1,0,2.65487420678775,1.13643529099518e-204,9.64755980427784,3.1270684052355e-208,2896.989491,2422.000002,3077.000001,2938.000001,12715.324744,12930.999998,14279.318343,14097.324062,236.714,235.014,275.891,230.534,1062.138,1274.663,1367.338,1266.688
